first_name,last_name,parent_id
Goober,Ayo,0
Paten,Bamidele,1
Sarina,Olamide,2
Dasya,Akuchi,3
Merilyn,Idowu,4
Tate,Ndidi,5
Bernelle,Chidiebube,6
Lorianna,Ayotunde,7
Jennie,Chidiebere,8
Ange,Kelechi,9
Ronna,Opeyemi,10
Ambrosio,Dayo,11
Xavier,Chikere,12
Mable,Chikelu,13
Jeffery,Chisom,14
Tiphany,Oluwatoyin,15
Bevvy,Adebowale,16
Rikki,Chiemeka,17
Swen,Adeola,18
Lethia,Adisa,19
Guy,Olusola,20
Glyn,Chidiebele,21
Mayor,Ekundayo,22
Roseline,Chijindum,23
Rosita,Chizoba,24
Moses,Abioye,25
Antoine,Taiwo,26
Adorne,Chidi,27
Kara,Ekene,28
Dorie,Uchenna,29
Margarette,Adedayo,30
Cindie,Kehinde,31
Lesya,Chidubem,32
Sansone,Kyauta,33
Janella,Alaba,34
Winfred,Ife,35
Mylo,Toyin,36
Tally,Uzochi,37
Joelle,Abimbola,38
Kit,Olayinka,39
Alex,Ayomide,40
Hymie,Dada,41
Shantee,Chigozie,42
Carlota,Uche,43
Lou,Onyekachi,44
Arline,Temitope,45
Cristen,Fumnanya,46
Kelwin,Ayodele,47
Zitella,Obi,48
Jasmine,Abiodun,49
Tracey,Uzoma,50
Tove,Abiola,51
Lesley,Akachi,52
Daryle,Eniola,53
Timothy,Adebola,54
Richardo,Chinwendu,55
Erl,Chima,56
Archibold,Abidemi,57
Newton,Chibuzo,58
Nerita,Chinonso,59
Angelia,Oluwaseun,60
Ilyssa,Ekenedilichukwu,61
Wilie,Tochukwu,62
Margie,Adetokunbo,63
Lenore,Oni,64
Agnola,Ogochukwu,65
Magnus,Onyekachukwu,66
Bobinette,Ige,67
Nickey,Folami,68
Barbie,Onyeka,69
Averell,Chimezie,70
Bernhard,Oluwaseyi,71
Jules,Yalwa,72
Megan,Enitan,73
Lucie,Ayo,74
Desmond,Bamidele,75
Dierdre,Olamide,76
Deina,Akuchi,77
Tara,Idowu,78
Riva,Ndidi,79
Fernanda,Chidiebube,80
Terencio,Idowu,81
Freda,Ayotunde,82
Maryanna,Chidiebere,83
