student_id,first_name,last_name,date_of_birth,gender
0,Winfred,Ayo,2014-08-10,male
1,Othella,Bamidele,2014-06-25,female
2,Lisa,Olamide,2013-09-04,female
3,Suzanna,Akuchi,2014-02-01,female
4,Lars,Idowu,2015-09-01,male
5,Corrie,Ndidi,2015-12-28,female
6,Ventura,Chidiebube,2013-01-22,female
7,Ronica,Ayotunde,2015-12-05,female
8,Amalita,Chidiebere,2013-04-02,female
9,Lorinda,Kelechi,2015-10-06,female
10,Albatros,Opeyemi,2014-03-06,male
11,Simone,Dayo,2013-11-23,female
12,Wilone,Chikere,2014-06-22,female
13,Leila,Chikelu,2013-03-15,female
14,Gwendolen,Chisom,2015-09-05,female
15,Charil,Oluwatoyin,2013-02-01,female
16,Tore,Adebowale,2014-10-20,male
17,Trix,Chiemeka,2014-05-03,female
18,Barbey,Adeola,2013-01-07,female
19,Ivett,Adisa,2015-02-26,female
20,Hervey,Olusola,2013-11-22,male
21,Luke,Chidiebele,2013-02-03,male
22,Skipper,Ekundayo,2013-03-17,male
23,Nicolea,Chijindum,2015-05-12,female
24,Marketa,Chizoba,2013-11-03,female
25,Charita,Abioye,2014-11-19,female
26,Joye,Taiwo,2013-10-15,female
27,Sherline,Chidi,2014-11-03,female
28,Hanni,Ekene,2015-02-07,female
29,Bren,Uchenna,2015-11-14,female
30,Kaila,Adedayo,2015-02-20,female
31,Clive,Kehinde,2014-12-02,male
32,Cindie,Chidubem,2014-07-09,female
33,Lucia,Kyauta,2014-10-03,female
34,Cliff,Alaba,2013-04-23,male
35,Ricki,Ife,2014-09-16,male
36,Jerrold,Toyin,2013-05-11,male
37,Prudence,Uzochi,2014-11-08,female
38,Phylis,Abimbola,2013-06-13,female
39,Leontine,Olayinka,2013-05-23,female
40,Gloriana,Ayomide,2014-02-28,female
41,Sky,Dada,2014-11-21,male
42,Aurelea,Chigozie,2013-06-20,female
43,Lanie,Uche,2013-05-08,female
44,Brigit,Onyekachi,2015-05-05,female
45,Willi,Temitope,2015-10-07,male
46,Merna,Fumnanya,2015-05-15,female
47,Faina,Ayodele,2015-12-12,female
48,Dave,Obi,2014-10-09,male
49,Ingamar,Abiodun,2013-01-25,male
50,Kyrstin,Uzoma,2015-04-02,female
51,Angelle,Abiola,2015-06-12,female
52,Anatole,Akachi,2015-03-24,male
53,Ursula,Eniola,2014-06-08,female
54,Darius,Adebola,2013-07-23,male
55,Aharon,Chinwendu,2013-04-28,male
56,Kynthia,Chima,2013-10-02,female
57,Moyna,Abidemi,2014-10-05,female
58,Roanna,Chibuzo,2013-01-26,female
59,Carmelita,Chinonso,2013-03-05,female
60,Alejandro,Oluwaseun,2014-11-03,male
61,Archon,Ekenedilichukwu,2015-02-15,male
62,Ally,Tochukwu,2015-08-10,female
63,Georgetta,Adetokunbo,2014-03-07,female
64,Lura,Oni,2014-11-20,female
65,Cornelle,Ogochukwu,2014-02-23,female
66,Malanie,Onyekachukwu,2015-11-04,female
67,Berget,Ige,2014-03-05,female
68,Vick,Folami,2015-01-02,male
69,Werner,Onyeka,2015-08-10,male
70,Sol,Chimezie,2013-06-14,male
71,Louella,Oluwaseyi,2015-08-23,female
72,Catherina,Yalwa,2014-07-17,female
73,Gabriele,Enitan,2015-06-05,male
74,Winfred,Ayo,2013-09-02,male
75,Othella,Bamidele,2014-06-24,female
76,Lisa,Olamide,2015-09-15,female
77,Suzanna,Akuchi,2014-05-16,female
78,Lars,Idowu,2015-08-20,male
79,Corrie,Ndidi,2013-12-22,female
80,Ventura,Chidiebube,2015-03-10,female
81,Si,Idowu,2013-09-07,male
82,Ronica,Ayotunde,2015-08-03,female
83,Amalita,Chidiebere,2014-02-17,female
84,Lorinda,Kelechi,2013-08-18,female
85,Albatros,Opeyemi,2015-08-27,male
86,Sophey,Ndidi,2015-02-04,female
87,Shirah,Kelechi,2015-01-21,female
88,Simone,Dayo,2015-07-15,female
89,Wilone,Chikere,2013-03-19,female
90,Leila,Chikelu,2013-03-12,female
91,Gwendolen,Chisom,2014-06-16,female
92,Charil,Oluwatoyin,2015-01-14,female
93,Luis,Olamide,2013-04-13,male
94,Tore,Adebowale,2015-11-28,male
95,Trix,Chiemeka,2013-03-13,female
96,Barbey,Adeola,2014-04-15,female
97,Ivett,Adisa,2014-01-21,female
98,Hervey,Olusola,2015-02-18,male
99,Tito,Chiemeka,2014-05-20,male
100,Luke,Chidiebele,2015-05-05,male
101,Susie,Chidiebele,2014-03-14,female
102,Skipper,Ekundayo,2014-12-18,male
103,Nicolea,Chijindum,2014-03-12,female
104,Keri,Ayotunde,2014-10-19,female
105,Marketa,Chizoba,2015-03-16,female
106,Fan,Kelechi,2014-07-19,female
107,Charita,Abioye,2014-08-01,female
108,Joye,Taiwo,2013-04-12,female
109,Sherline,Chidi,2015-07-04,female
110,Hanni,Ekene,2014-07-06,female
111,Bren,Uchenna,2013-08-14,female
112,Kaila,Adedayo,2013-08-22,female
113,Clive,Kehinde,2014-02-07,male
114,Cindie,Chidubem,2015-11-16,female
115,Lucia,Kyauta,2014-08-02,female
116,Ludwig,Kyauta,2015-12-02,male
117,Cliff,Alaba,2013-04-17,male
118,Ricki,Ife,2015-03-03,male
119,Cyril,Ekene,2013-09-01,male
120,Latisha,Kehinde,2014-12-03,female
121,Helen-Elizabeth,Kehinde,2015-08-12,female
122,Tomi,Ekundayo,2014-03-10,female
123,Tory,Ayotunde,2013-01-09,female
124,Jerrold,Toyin,2013-03-10,male
125,Prudence,Uzochi,2015-12-20,female
126,Phil,Chikere,2015-08-10,female
127,Phylis,Abimbola,2013-04-02,female
128,Leontine,Olayinka,2014-09-22,female
129,Berny,Chidiebele,2015-10-06,female
130,Doralynn,Chidiebube,2014-03-24,female
131,Gloriana,Ayomide,2013-09-15,female
132,Abigael,Taiwo,2015-05-09,female
133,Arabela,Abioye,2014-09-07,female
134,Sky,Dada,2013-12-16,male
135,Aurelea,Chigozie,2013-12-24,female
136,Jemima,Ayomide,2015-04-05,female
137,Lanie,Uche,2015-08-09,female
138,Mable,Uzochi,2014-09-16,female
139,Elsey,Adebowale,2014-12-17,female
