student_id,student_name,date_of_birth,gender,guardian_id,subjects,course,student_academic_performance_score,guardian_name,relationship,occupation,income_level
0,David Ayo,2010-08-10,male,0,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,34.58809999999999,Oreoluwa Ayo,niece,Musician,180000
1,Sarah Bamidele,2010-06-25,female,1,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,43.65143333333333,Jamiu Bamidele,father,Dentist,450000
2,Mary Olamide,2009-09-04,female,2,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,37.33801111111111,Adebimpe Olamide,mother,Software Developer,350000
3,Grace Akuchi,2010-02-01,female,3,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,32.94136666666666,Raheem Akuchi,father,Electrician,70000
4,Emmanuel Idowu,2011-09-01,male,4,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,31.924333333333333,Salimot Idowu,mother,Makeup Artist,80000
5,Rebecca Ndidi,2011-12-28,female,5,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,37.33065555555555,Samuel Ndidi,uncle,Actor,200000
6,Elizabeth Chidiebube,2009-01-22,female,6,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,31.68908888888889,Chidinma Chidiebube,aunt,Housekeeper,25000
7,Esther Ayotunde,2011-12-05,female,7,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,33.88334444444445,Yusuf Ayotunde,nephew,Artist,150000
8,Deborah Chidiebere,2009-04-02,female,8,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,33.28598888888889,Fadekemi Chidiebere,mother,Imam,120000
9,Ruth Kelechi,2011-10-06,female,9,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,33.02641111111111,Abubakar Kelechi,uncle,Fashion Designer,120000
10,John Opeyemi,2010-03-06,male,10,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,37.97956666666666,Folusho Opeyemi,niece,Pharmacist,280000
11,Naomi Dayo,2009-11-23,female,11,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,31.556533333333334,Chris Dayo,uncle,Driver,50000
12,Hope Chikere,2010-06-22,female,12,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,38.50745555555555,Atinuke Chikere,mother,Civil Engineer,300000
13,Joy Chikelu,2009-03-15,female,13,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,36.302611111111105,Raheem Chikelu,nephew,Digital Marketer,180000
14,Faith Chisom,2011-09-05,female,14,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,32.11504444444444,Adedoyin Chisom,mother,Police Officer,100000
15,Patience Oluwatoyin,2009-02-01,female,15,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,43.26525555555555,Sadiq Oluwatoyin,nephew,Doctor,500000
16,Daniel Adebowale,2010-10-20,male,16,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,45.58473333333334,Rukayat Adebowale,niece,Pilot,600000
17,Rebecca Chiemeka,2010-05-03,female,17,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,40.77888888888889,Tijani Chiemeka,uncle,Business Analyst,320000
18,Ngozi Adeola,2009-01-07,female,18,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,34.157000000000004,Esther Adeola,mother,Pastor,150000
19,Temitope Adisa,2011-02-26,female,19,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,32.20734444444444,Taofeek Adisa,uncle,Photographer,100000
20,Joseph Olusola,2009-11-22,male,20,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,40.43877777777778,Ufuoma Olusola,aunt,Financial Analyst,320000
21,Samuel Chidiebele,2009-02-03,male,21,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,30.866533333333333,Isiaka Chidiebele,uncle,Barber,40000
22,Michael Ekundayo,2009-03-17,male,22,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,37.39917777777777,Aderonke Ekundayo,niece,Pharmacist,280000
23,Folasade Chijindum,2011-05-12,female,23,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,34.97503333333333,Olanrewaju Chijindum,nephew,Fashion Designer,120000
24,Yemisi Chizoba,2009-11-03,female,24,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,37.7558,Iretiola Chizoba,niece,Human Resources Manager,250000
25,Chinwe Abioye,2010-11-19,female,25,"[""22"",""21"",""10"",""3"",""6"",""2"",""4"",""13"",""1"",""5""]",art,38.5793111111111,Sola Abioye,uncle,Real Estate Agent,250000
26,Ogechi Taiwo,2009-10-15,female,26,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,30.753555555555554,Teniola Taiwo,niece,Plumber,50000
27,Ezinne Chidi,2010-11-03,female,27,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,37.425044444444445,Kayode Chidi,uncle,Human Resources Manager,250000
28,Nkechi Ekene,2011-02-07,female,28,"[""23"",""8"",""11"",""24"",""5"",""4"",""13"",""2"",""1"",""6""]",science,36.582744444444444,Titilayo Ekene,niece,Pharmacist,280000
